country, n, product, correlation
Afghanistan,1,Bread,nan
Algeria,0,Bread,nan
Bolivia,0,Bread,nan
Congo,0,Bread,nan
Djibouti,3,Bread,0.06665327899092491
Gambia,0,Bread,0.06665327899092491
Guatemala,14,Bread,0.772228773348039
Guinea,3,Bread,0.7552415229921478
Iraq,3,Bread,0.8107195081822556
Jordan,4,Bread,0.8409877666034703
Kenya,9,Bread,0.7852764654678489
Kyrgyzstan,10,Bread,0.7029816692454574
Lebanon,3,Bread,0.6968560803320392
Lesotho,5,Bread,0.6895904822620118
Nigeria,1,Bread,0.679986131869006
Syrian Arab Republic,4,Bread,0.6956670077887699
Tajikistan,13,Bread,0.5619403659142662
Turkey,2,Bread,0.554960763821041
Ukraine,1,Bread,0.5566289410700617
State of Palestine,0,Bread,0.5566289410700617
